"get divorced";"рвзвестись"
"to brake up";"расставаться"
"to split up";"расставаться"
"to boast";"хвастаться"
"call off";"отменить"
"acquaintance";"знакомство, знакомый"
"to recover";"выздоравливать"
"accustomed to";"привыкший "
"thoughtful";"задумчивый"
"to strive";"стремиться, стараться"
"undertake";"предприниматься"
"thrilling";"захватывающий"
"difference";"разница"
"kitchen";"кухня"
"below";"ниже"
"above";"выше"
"timetable";"расписание"
"into account ";"принять во внимание"
"reliable";"надёжный"
"get rid of";"избавиться"
"supper";"ужин"
"irregular";"неправильный, непостоянный"
"rarely";"редко"
"seldom";"редко"
"to rob ";"грабить"
"amazed by (of)";"поражённый"
"angry with";"сердиться на (человека),  злиться из-за "
"angry about";"сердиться на (объект), злиться из-за "
"by chance ";"случайно"
"to stay at";"находиться дома, в здании"
"to exaggerate ";"преувеличивать"
"cheaper ";"более дешёвой, дешевле"
"get close for ";"приближаться к, подобраться"
"lose patience";"терять терпение "
"selfish";"эгоистичный"
"irritation";"раздражение"
"affirmative";"утвердительный"
"impatience";"нетерпение"
"come across";"встретиться, пересечься"
"let down ";"подводить"
"frankly";"откровенно, честно"
"to shorten";"сокращать, укоротить"
"to lengthen";"удлинить"
"to prescribe";"предписать, прописывать"
"to point out";"заметить"
"to consist of";"состоять из"
"feel free to contact me";"не стесняйся обращаться "
"to pretent";"притворяться"
"sincere";"искренний"
"to digest";"переварить (информацию)"
"needy";"нуждающийся"
"all the pros and cons ";"все за и против, все плюсы и минусы"
"isolated";"изолированный, оторванный"
"fill in ";"заполнить форму"
"to leave ";"забыть (ключи)"
"to idealize";"идеализировать"
"mustache";"усы"
"move to";"переехать"
"boils at";"кипит при (температуре)"
"shake hands";"пожать руки"
"to quarrel";"ссориться"
"gotta (I have got to)";"мне нужно, я вынужден "
"to part ways";"Закончиться, разойтись, расстаться"
"sick and tired";"Откровенно достало"
"Mockingjay";"сойка-пересмешника"
"to zip";"Застегнуть молнию"
"to fasten";"застегнуть (ремень)"
"to twist";"сделать человеку плохо"
"to slow up (down)";"Притормозить (про человека)"
"to let up";"Ослабевать, сходить на нет"
"sacrilegious";"кощунственный"
"take forever";"Очень долго (время)"
"run-in";"схватка"
"to detract";"Уменьшать "
"detractors";"недоброжелатели"
"pitchfork";"вилы"
"corkscrew";"штопор"
"revenge";"расплата, месть"
"leeches";"пиявки"
"flip the bird";"Поднять средний палец"
"Lip-syncs";"Липсинг"
"hardly";"Едва ли"
"prolly";"возможно (prodadly)"
"to fetch";"пойди принеси (часто говорят собакам)"
"remote";"пульт"
"reduce";"сокращать, уменьшать"
"to be based on";"базироваться"
"differ";"отличаться "
"to tremble with";"трястись (от страха)"
"to exclaimed";"восклицать"
"work out ";"разработать "
"entrance";"подъезд"
"to nod";"кивать, кивнуть"
"stamp ";"марка"
"to pollute";"загрязнять"
"to remark";"заметить"
"to betray";"предавать"
"to confess";"признаться"
"swear to";"ругаться на кого-то"
"to declare";"провозглашать, объявлять"
"to subtract";"вычитать"
"to mind ";"возражать"
"would you mind";"не будете против"
"to exceed";"превышать"
"eraser ";"ластик, резинка "
"to attend";"посещать"
"syllabus ";"учебный план"
"aloud ";"вслух"
"watching ";"следить за кем-то"
"blackmail";"шантаж"
"to dedicate ";"посвящать"
"urgently";"срочно"
"to envy";"завидовать"
"to humiliate ";"унижать"
"to prescribe ";"прописывать(лекарства), назначать"
"the pros and cons ";"за и против, плюсы и минусы"
"going to ";"планировать "
"cash";"наличка"
"be fed up";"достать, надоесть"
"to resemble";"быть похожим"
"take after";"быть похожим"
"rub out";"стирать"
"thrilling";"захватывающий "
"profoundly ";"основательно, глубоко"
"talkative";"болтливый, разговорчивый"
"keep in touch";"быть на связи"
"go off";"выстрелить, взорваться, уходить"
"with impatience";"с нетерпением"
"to be expected for";"ожидается"
"to be supposed to";"предполагается"
"for tomorrow";"на завтра (планы)"
"have nothing ";"нечего (сказать,сделать)"
"making fortune/friends";"сделать состояние/найти друзей"
"syllable";"слог"
"thirilling";"захватывающий"
"by far";"безусловно, однозначно"
"familiar";"знакомый "
"to sip ";"пить по чуть-чуть, потягивать"
"bleach";"отбеливатель, хлорка"
"running for";"баллотироваться"
"to confine ";"ограничивать"
"carnation";"гвоздика"
"to decay ";"разлагаться (биологический процесс)"
"allergic";"аллергия"
"to catch flack";"принимать удар на себя, получать взбучку, быть критикованным"
"to exact";"требовать"
"aloof";"замкнутый, отчуждённый"
"to turn into ";"превращаться"
"to prey";"охотиться"
"prey";"охота, добыча"
"get on your soapbox";"внезапно произнести свою речь, импровизировать"
"detergent ";"моющее стредство, порошок"
"endurance";"выносливость"
"scenery ";"пейзаж"
"short of";"нехватка"
"shortage";"нехватка"
"jealous of";"завидовать, ревновать"
"to be acquainted with";"знаком с "
"in a hurry";"торопится, спешить"
"on strike";"на забастовке"
"take something for granted ";"принимать как должное "
"in vain ";"напрасно"
"to put/say shortly/briefly";"коротко говоря"
"to put mildly";"мягко говоря"
"to put it bluntly";"грубо говоря"
"at least";"по крайней мере"
"to cut a long story short";"если коротко, вкратце, в двух словах"
"on the contrary";"наоборот, напротив, с другой стороны"
"to be srank/honest";"быть честным "
"It goes without saying";"само собой разумеется "
"leave up to some expectations";"оправдать ожидания"
"to bear fruit";"пожинать плоды, приносить плоды"
"eternity";"вечность"
"to the best of my knowledge ";"насколько мне известно"
"don't have to";"нет необходимости "
"arrogant ";"высокомерный"
"to be allowed";"разрешено"
"oligarch";"олигарх"
"I were/was you";"если бы я был на твоём месте"
"It's time";"пора "
"It's high time ";"давно пора"
"disgusting ";"отвратительный"
"breathtaking ";"захватывающий"
"niche";"ниша "
"utterly";"совершенно, абсолютно"
"illegible ";"неразборчивый"
"handwriting";"почерк"
"illiterate ";"неграмотный"
"take up";"начать заниматься"
"not help admiring ";"не могу не восхищаться"
"look forward";"ждать с нетерпением "
"get/to be use to";"привыкший "
"arrangement ";"расположение "
"redecorated ";"косметический ремонт"
"there is no point in";"бесполезно делать…"
"live up to";"оправдлать (ожидания)"
"on no condition";"ни при каком условии "
"hardly had … when";"как только"
"No sooner … then ";"как только"
"throughly enjoy";"в полном восторге"
"no point in";"нет смысла"
"write down ";"записать"
"in a minute";"через минуту"
"get along well";"хорошо ладить"
"roommates";"соседи по комнате"
"put on";"надевать"
"take off";"снимать"
"get out";"уходи, убирайся"
"bring up";"воспитать"
"carry on";"продолжить"
"carry out";"осуществлять"
"look after";"заботиться, присмотреть"
"to resemble";"напоминать, быть похожим"
"flick through";"пролистать (страницы)"
"save up";"сэкономить, сохранить деньги"
"bump into";"столкнуться, натолкнуться на, встретиться"
"fall behind";"отставать"
"show off";"показать"
"show up";"появиться"
"turn up";"появиться неожиданно"
"to deceive";"обмануть"
"see off";"проводить"
"read out";"зачитать, прочесть вслух "
"drop in";"зайти на короткое время"
"drop by";"зайти"
"sort out";"решить проблему, разобраться"
"iron out";"сгладить, уладить"
"nod off";"заснуть"
"doze off";"дремать"
"cheer up";"взбодрись"
