! Planar, Obzor-304, 08055001, 21.3.2/2
! Date: 24.03.2023 11:04:39
! Stimulus(Гц);    S22(R : Ω);        S22(jX : Ω)
1,00000000000E+08;+2,78638024660E+00;-1,68663356196E+02
1,01500000000E+08;+2,62404245830E+00;-1,66078678853E+02
1,03000000000E+08;+2,63353418445E+00;-1,63457681034E+02
1,04500000000E+08;+2,59772133920E+00;-1,60972638662E+02
1,06000000000E+08;+2,54918694210E+00;-1,58420529655E+02
1,07500000000E+08;+2,55612846227E+00;-1,56109533530E+02
1,09000000000E+08;+2,31417515495E+00;-1,53667201576E+02
1,10500000000E+08;+2,30813392854E+00;-1,51450995202E+02
1,12000000000E+08;+2,31465061376E+00;-1,49277717827E+02
1,13500000000E+08;+2,32294976334E+00;-1,47130609838E+02
1,15000000000E+08;+2,16092875939E+00;-1,45054189168E+02
1,16500000000E+08;+2,18196248159E+00;-1,42948497308E+02
1,18000000000E+08;+2,14553300228E+00;-1,41058152788E+02
1,19500000000E+08;+2,13628008421E+00;-1,39140227303E+02
1,21000000000E+08;+2,11801362795E+00;-1,37293322384E+02
1,22500000000E+08;+2,03192468037E+00;-1,35342012560E+02
1,24000000000E+08;+1,98703697395E+00;-1,33611776548E+02
1,25500000000E+08;+1,95774005111E+00;-1,31844478652E+02
1,27000000000E+08;+1,97827290748E+00;-1,30081219306E+02
1,28500000000E+08;+1,89486715393E+00;-1,28392688611E+02
1,30000000000E+08;+1,87303706329E+00;-1,26628859633E+02
1,31500000000E+08;+1,85624000305E+00;-1,25051730159E+02
1,33000000000E+08;+1,87431537035E+00;-1,23438644893E+02
1,34500000000E+08;+1,90078488161E+00;-1,21877571737E+02
1,36000000000E+08;+1,87943532124E+00;-1,20395498879E+02
1,37500000000E+08;+1,90032130695E+00;-1,19024467387E+02
1,39000000000E+08;+1,89588970158E+00;-1,17513654886E+02
1,40500000000E+08;+1,90021078796E+00;-1,16107466781E+02
1,42000000000E+08;+1,81990153158E+00;-1,14743948228E+02
1,43500000000E+08;+1,78694774841E+00;-1,13337115791E+02
1,45000000000E+08;+1,77564444539E+00;-1,11956959306E+02
1,46500000000E+08;+1,77114150767E+00;-1,10672957987E+02
