! Planar, Obzor-304, 08055001, 21.3.2/2
! Date: 24.03.2023 10:49:17
! Stimulus(Гц),    S22(R : Ω),        S22(jX : Ω)
1.00000000000E+08,+4.00468741381E+00,-2.06639533468E+02
1.01500000000E+08,+3.93539020733E+00,-2.03389429815E+02
1.03000000000E+08,+3.71225786633E+00,-2.00369759552E+02
1.04500000000E+08,+3.59945531607E+00,-1.97197866229E+02
1.06000000000E+08,+3.51993821165E+00,-1.94350317953E+02
1.07500000000E+08,+3.58843938192E+00,-1.91391138484E+02
1.09000000000E+08,+3.42296834024E+00,-1.88637125006E+02
1.10500000000E+08,+3.32534364889E+00,-1.85957520113E+02
1.12000000000E+08,+3.24947875201E+00,-1.83410941537E+02
1.13500000000E+08,+3.16847774474E+00,-1.80869611742E+02
1.15000000000E+08,+3.04437648376E+00,-1.78356625696E+02
1.16500000000E+08,+3.01071508802E+00,-1.75997857109E+02
1.18000000000E+08,+2.97899306080E+00,-1.73614302364E+02
1.19500000000E+08,+2.97617857880E+00,-1.71264937526E+02
1.21000000000E+08,+2.85041538104E+00,-1.69018233086E+02
1.22500000000E+08,+2.77971214249E+00,-1.66875228415E+02
1.24000000000E+08,+2.73847886029E+00,-1.64632551914E+02
1.25500000000E+08,+2.60589000821E+00,-1.62575174485E+02
1.27000000000E+08,+2.65329257487E+00,-1.60532418566E+02
1.28500000000E+08,+2.50248018518E+00,-1.58525448781E+02
1.30000000000E+08,+2.51372387779E+00,-1.56456872491E+02
1.31500000000E+08,+2.41339872213E+00,-1.54539359915E+02
1.33000000000E+08,+2.40681486545E+00,-1.52644404319E+02
1.34500000000E+08,+2.44063899505E+00,-1.50906632587E+02
1.36000000000E+08,+2.46408375824E+00,-1.49101637872E+02
1.37500000000E+08,+2.37295644987E+00,-1.47496260000E+02
1.39000000000E+08,+2.44578160869E+00,-1.45755841697E+02
1.40500000000E+08,+2.25051820364E+00,-1.44012198393E+02
1.42000000000E+08,+2.35639092545E+00,-1.42453896815E+02
1.43500000000E+08,+2.23541423172E+00,-1.40803170887E+02
1.45000000000E+08,+2.15190051259E+00,-1.39222241554E+02
1.46500000000E+08,+2.08293168112E+00,-1.37666414110E+02
1.48000000000E+08,+2.12446584134E+00,-1.36140438614E+02
1.49500000000E+08,+2.08914140082E+00,-1.34605189247E+02
1.51000000000E+08,+2.05245609313E+00,-1.33120439668E+02
1.52500000000E+08,+2.03005908255E+00,-1.31699591777E+02
1.54000000000E+08,+1.94970979347E+00,-1.30294828161E+02
1.55500000000E+08,+1.94007069956E+00,-1.28933590021E+02
1.57000000000E+08,+1.82385291185E+00,-1.27591626249E+02
1.58500000000E+08,+1.83667248750E+00,-1.26192453687E+02
1.60000000000E+08,+1.77664087191E+00,-1.24956289081E+02
1.61500000000E+08,+1.73894858871E+00,-1.23635020323E+02
1.63000000000E+08,+1.74677079264E+00,-1.22374061390E+02
1.64500000000E+08,+1.74187511521E+00,-1.21143194084E+02
1.66000000000E+08,+1.75315818019E+00,-1.19829482974E+02
1.67500000000E+08,+1.71835606990E+00,-1.18618514208E+02
1.69000000000E+08,+1.60384841444E+00,-1.17430154662E+02
1.70500000000E+08,+1.61152521859E+00,-1.16371293896E+02
1.72000000000E+08,+1.57177266374E+00,-1.15270946958E+02
1.73500000000E+08,+1.57107678578E+00,-1.14125040337E+02
1.75000000000E+08,+1.53503623033E+00,-1.13003630713E+02
1.76500000000E+08,+1.50786706340E+00,-1.11902881890E+02
1.78000000000E+08,+1.56768524802E+00,-1.10866217859E+02
1.79500000000E+08,+1.51440482489E+00,-1.09782939757E+02
1.81000000000E+08,+1.53985401680E+00,-1.08720980949E+02
1.82500000000E+08,+1.51041293602E+00,-1.07716547923E+02
1.84000000000E+08,+1.50214587430E+00,-1.06662117716E+02
1.85500000000E+08,+1.45407701257E+00,-1.05726872280E+02
1.87000000000E+08,+1.51151209532E+00,-1.04802072814E+02
1.88500000000E+08,+1.40951977525E+00,-1.03908266346E+02
1.90000000000E+08,+1.45335567319E+00,-1.02994567399E+02
1.91500000000E+08,+1.38936398556E+00,-1.02035119361E+02
1.93000000000E+08,+1.37600727043E+00,-1.01162061196E+02
1.94500000000E+08,+1.40660094645E+00,-1.00298944780E+02
1.96000000000E+08,+1.34638534138E+00,-9.93808773025E+01
1.97500000000E+08,+1.32329194957E+00,-9.85036665884E+01
1.99000000000E+08,+1.25526223660E+00,-9.76410495027E+01
2.00500000000E+08,+1.26791358388E+00,-9.68085637535E+01
2.02000000000E+08,+1.21253744572E+00,-9.59207206524E+01
2.03500000000E+08,+1.20608322433E+00,-9.51149347309E+01
2.05000000000E+08,+1.21578836121E+00,-9.42983570072E+01
2.06500000000E+08,+1.21200622205E+00,-9.35171305842E+01
2.08000000000E+08,+1.21171718287E+00,-9.27469727751E+01
2.09500000000E+08,+1.18782546567E+00,-9.18876143608E+01
2.11000000000E+08,+1.19328222660E+00,-9.11463108986E+01
