! Planar, Obzor-304, 08055001, 21.3.2/2
! Date: 24.03.2023 11:01:30
! Stimulus(Гц);    S22(R : Ω);        S22(jX : Ω)
1,00000000000E+08;+1,01172281173E+00;-7,35669682201E+01
1,01500000000E+08;+9,49320868475E-01;-7,16869252745E+01
1,03000000000E+08;+9,27530259489E-01;-6,98739553993E+01
1,04500000000E+08;+9,49153987559E-01;-6,80319248743E+01
1,06000000000E+08;+9,05739982936E-01;-6,62600784234E+01
1,07500000000E+08;+9,10644412488E-01;-6,45140656518E+01
1,09000000000E+08;+9,11349419956E-01;-6,27621856340E+01
1,10500000000E+08;+8,59852188524E-01;-6,10899352639E+01
1,12000000000E+08;+8,72114790438E-01;-5,94553695153E+01
1,13500000000E+08;+8,38068393624E-01;-5,78008260907E+01
1,15000000000E+08;+8,15322349401E-01;-5,62044714005E+01
1,16500000000E+08;+8,06397399343E-01;-5,46371098698E+01
1,18000000000E+08;+7,97582623757E-01;-5,30609166506E+01
1,19500000000E+08;+7,74512823382E-01;-5,15439568373E+01
1,21000000000E+08;+7,61236335803E-01;-5,00309062897E+01
1,22500000000E+08;+7,60113816917E-01;-4,85087103208E+01
1,24000000000E+08;+7,50918607177E-01;-4,70178434939E+01
1,25500000000E+08;+7,33669270981E-01;-4,55354832780E+01
1,27000000000E+08;+7,52256805087E-01;-4,40745251549E+01
1,28500000000E+08;+7,12491348483E-01;-4,26273412447E+01
1,30000000000E+08;+7,20684008560E-01;-4,11669233869E+01
1,31500000000E+08;+7,17277763084E-01;-3,97585126606E+01
1,33000000000E+08;+6,91433254225E-01;-3,83513085361E+01
1,34500000000E+08;+7,04196766192E-01;-3,69477867018E+01
1,36000000000E+08;+6,83074094396E-01;-3,55690890009E+01
1,37500000000E+08;+6,82771392575E-01;-3,41780657007E+01
1,39000000000E+08;+6,84713070131E-01;-3,28086403661E+01
1,40500000000E+08;+6,73241496838E-01;-3,14440874696E+01
1,42000000000E+08;+6,71203864564E-01;-3,00924192750E+01
1,43500000000E+08;+6,63751674113E-01;-2,87220951511E+01
1,45000000000E+08;+6,61755684482E-01;-2,73623623918E+01
1,46500000000E+08;+6,70777514806E-01;-2,60136518416E+01
1,48000000000E+08;+6,66654689144E-01;-2,46584907447E+01
1,49500000000E+08;+6,57611805503E-01;-2,33120047148E+01
1,51000000000E+08;+6,61176225342E-01;-2,19600104604E+01
1,52500000000E+08;+6,54608178002E-01;-2,06246265727E+01
1,54000000000E+08;+6,46192732962E-01;-1,92671626622E+01
1,55500000000E+08;+6,38262330183E-01;-1,79286027555E+01
1,57000000000E+08;+6,40475878944E-01;-1,65782334747E+01
1,58500000000E+08;+6,39397324063E-01;-1,52254400974E+01
1,60000000000E+08;+6,47083295023E-01;-1,38690507820E+01
1,61500000000E+08;+6,50701052883E-01;-1,25051338821E+01
1,63000000000E+08;+6,40181631705E-01;-1,11317751851E+01
1,64500000000E+08;+6,52354389388E-01;-9,75301613163E+00
1,66000000000E+08;+6,59714439016E-01;-8,36747543348E+00
1,67500000000E+08;+6,55043710728E-01;-6,97536336677E+00
1,69000000000E+08;+6,57805123336E-01;-5,57054318325E+00
1,70500000000E+08;+6,59327193585E-01;-4,15629489444E+00
1,72000000000E+08;+6,63411273754E-01;-2,72288361918E+00
1,73500000000E+08;+6,71605338261E-01;-1,28400592941E+00
1,75000000000E+08;+6,71960265955E-01;+1,70431693720E-01
1,76500000000E+08;+6,80620121251E-01;+1,64445634784E+00
1,78000000000E+08;+6,91777381151E-01;+3,12519223740E+00
1,79500000000E+08;+7,00735806122E-01;+4,62805214300E+00
1,81000000000E+08;+7,11430314844E-01;+6,15051455082E+00
1,82500000000E+08;+7,22300443827E-01;+7,69775364750E+00
1,84000000000E+08;+7,31549427358E-01;+9,24992382692E+00
1,85500000000E+08;+7,55138114526E-01;+1,08299200428E+01
1,87000000000E+08;+7,66367761076E-01;+1,24568364785E+01
1,88500000000E+08;+7,85826549344E-01;+1,40960180927E+01
1,90000000000E+08;+8,00493485969E-01;+1,57669659815E+01
1,91500000000E+08;+8,25544371835E-01;+1,74603819994E+01
1,93000000000E+08;+8,49933076765E-01;+1,91916780913E+01
1,94500000000E+08;+8,65499737098E-01;+2,09717256801E+01
1,96000000000E+08;+8,86394125103E-01;+2,27809394529E+01
1,97500000000E+08;+9,15123592569E-01;+2,46392802002E+01
1,99000000000E+08;+9,45850021949E-01;+2,64970231639E+01
2,00500000000E+08;+9,69371724709E-01;+2,84044753681E+01
2,02000000000E+08;+1,00908851204E+00;+3,03563699083E+01
2,03500000000E+08;+1,04165008881E+00;+3,23742957507E+01
2,05000000000E+08;+1,07154852883E+00;+3,44530037939E+01
2,06500000000E+08;+1,10225687741E+00;+3,65868355236E+01
2,08000000000E+08;+1,13080077564E+00;+3,87759317795E+01
2,09500000000E+08;+1,19669344403E+00;+4,10287065823E+01
2,11000000000E+08;+1,27373208536E+00;+4,33601823919E+01
2,12500000000E+08;+1,31994115278E+00;+4,57685683232E+01
2,14000000000E+08;+1,35345545475E+00;+4,82646932375E+01
2,15500000000E+08;+1,42785159531E+00;+5,08317381261E+01
2,17000000000E+08;+1,51694827987E+00;+5,34569043458E+01
2,18500000000E+08;+1,58980670226E+00;+5,61805715381E+01
2,20000000000E+08;+1,68194916517E+00;+5,90248762481E+01
2,21500000000E+08;+1,77399847056E+00;+6,19627521557E+01
2,23000000000E+08;+1,83399582668E+00;+6,50107885228E+01
2,24500000000E+08;+1,96011416743E+00;+6,82105640548E+01
2,26000000000E+08;+2,06145404313E+00;+7,15156912545E+01
2,27500000000E+08;+2,16258735769E+00;+7,50004759564E+01
2,29000000000E+08;+2,30687617261E+00;+7,86223071939E+01
2,30500000000E+08;+2,40744622265E+00;+8,24106559608E+01
2,32000000000E+08;+2,60961833228E+00;+8,63761167337E+01
2,33500000000E+08;+2,78946556130E+00;+9,05044644945E+01
2,35000000000E+08;+3,00844721680E+00;+9,49250767363E+01
2,36500000000E+08;+3,26158404062E+00;+9,95386255839E+01
2,38000000000E+08;+3,52642542634E+00;+1,04334106812E+02
2,39500000000E+08;+3,76790584180E+00;+1,09393217341E+02
2,41000000000E+08;+4,11017537498E+00;+1,14741956284E+02
2,42500000000E+08;+4,44029557985E+00;+1,20478762479E+02
2,44000000000E+08;+4,78351946975E+00;+1,26576661536E+02
2,45500000000E+08;+5,23018043054E+00;+1,33103559583E+02
2,47000000000E+08;+5,74232334574E+00;+1,40147937099E+02
2,48500000000E+08;+6,24985421326E+00;+1,47764966519E+02
2,50000000000E+08;+6,81857785582E+00;+1,55741465186E+02
2,51500000000E+08;+7,46405401466E+00;+1,64629660383E+02
2,53000000000E+08;+8,24648065808E+00;+1,74128610969E+02
2,54500000000E+08;+9,10715471777E+00;+1,84405622989E+02
2,56000000000E+08;+1,00000971369E+01;+1,95508334991E+02
2,57500000000E+08;+1,11526105122E+01;+2,07903792936E+02
2,59000000000E+08;+1,27202431387E+01;+2,21630559763E+02
2,60500000000E+08;+1,41615544650E+01;+2,36748193781E+02
2,62000000000E+08;+1,59553338252E+01;+2,53655064140E+02
2,63500000000E+08;+1,80256919764E+01;+2,72431004291E+02
2,65000000000E+08;+2,06499803719E+01;+2,94107388169E+02
2,66500000000E+08;+2,38291841359E+01;+3,18606026722E+02
2,68000000000E+08;+2,83891388233E+01;+3,46758469709E+02
2,69500000000E+08;+3,38928021514E+01;+3,79869331729E+02
2,71000000000E+08;+4,15564542122E+01;+4,18352088245E+02
2,72500000000E+08;+5,10357222966E+01;+4,63792019304E+02
2,74000000000E+08;+6,46247684584E+01;+5,21968082673E+02
2,75500000000E+08;+8,30156371238E+01;+5,92695513874E+02
2,77000000000E+08;+1,10985506669E+02;+6,81368537070E+02
2,78500000000E+08;+1,50042396362E+02;+8,03714332569E+02
2,80000000000E+08;+2,18454632041E+02;+9,71176404192E+02
2,81500000000E+08;+3,42024959967E+02;+1,21019311540E+03
2,83000000000E+08;+6,14203309663E+02;+1,57671911859E+03
2,84500000000E+08;+1,33282972405E+03;+2,12300297965E+03
2,86000000000E+08;+3,48258886449E+03;+2,12323223795E+03
2,87500000000E+08;+4,23375335411E+03;-1,54036072281E+03
2,89000000000E+08;+1,73026132191E+03;-2,31741340159E+03
2,90500000000E+08;+7,62904429458E+02;-1,74867574611E+03
2,92000000000E+08;+4,17141453184E+02;-1,34521306441E+03
2,93500000000E+08;+2,69694262497E+02;-1,07878717062E+03
2,95000000000E+08;+1,80379954376E+02;-9,00013287814E+02
2,96500000000E+08;+1,31686834556E+02;-7,71822195099E+02
2,98000000000E+08;+9,86520647782E+01;-6,75896225160E+02
2,99500000000E+08;+7,81417242449E+01;-6,01168874577E+02
3,01000000000E+08;+6,27386067541E+01;-5,41813426004E+02
3,02500000000E+08;+5,21046555755E+01;-4,94514630246E+02
3,04000000000E+08;+4,42163112339E+01;-4,54535698070E+02
3,05500000000E+08;+3,77597270182E+01;-4,21153208587E+02
3,07000000000E+08;+3,20689496717E+01;-3,91914241778E+02
3,08500000000E+08;+2,87198601957E+01;-3,66262402431E+02
3,10000000000E+08;+2,47266072312E+01;-3,45189350913E+02
3,11500000000E+08;+2,20550860124E+01;-3,25969243168E+02
3,13000000000E+08;+2,01804269038E+01;-3,08564063858E+02
3,14500000000E+08;+1,84801292019E+01;-2,93017518074E+02
3,16000000000E+08;+1,74087382472E+01;-2,79132262282E+02
3,17500000000E+08;+1,61566012863E+01;-2,66643666657E+02
3,19000000000E+08;+1,51570662998E+01;-2,55018299221E+02
3,20500000000E+08;+1,42185492153E+01;-2,44685291713E+02
3,22000000000E+08;+1,34481800823E+01;-2,35143393084E+02
3,23500000000E+08;+1,27559240110E+01;-2,26550070541E+02
3,25000000000E+08;+1,23470492830E+01;-2,18845143270E+02
3,26500000000E+08;+1,18114513603E+01;-2,11670054247E+02
3,28000000000E+08;+1,13621838207E+01;-2,05157199454E+02
3,29500000000E+08;+1,07763534719E+01;-1,98878469970E+02
3,31000000000E+08;+1,02472945032E+01;-1,92856222886E+02
3,32500000000E+08;+9,52555430753E+00;-1,87268598245E+02
3,34000000000E+08;+9,08490422604E+00;-1,81780033024E+02
3,35500000000E+08;+8,52022794969E+00;-1,76883192642E+02
3,37000000000E+08;+8,16975519987E+00;-1,72188191936E+02
3,38500000000E+08;+7,92484001890E+00;-1,67681253821E+02
3,40000000000E+08;+7,57402564280E+00;-1,63417534970E+02
3,41500000000E+08;+7,14857852037E+00;-1,59427671923E+02
3,43000000000E+08;+6,84810996001E+00;-1,55606402024E+02
3,44500000000E+08;+6,54875958330E+00;-1,51963849301E+02
3,46000000000E+08;+6,24160378586E+00;-1,48427093862E+02
3,47500000000E+08;+6,07070660298E+00;-1,45180348528E+02
3,49000000000E+08;+5,82890218412E+00;-1,42051904931E+02
3,50500000000E+08;+5,77842640851E+00;-1,39074079180E+02
3,52000000000E+08;+5,57948154475E+00;-1,36290537957E+02
3,53500000000E+08;+5,49090064383E+00;-1,33422009093E+02
3,55000000000E+08;+5,35981206399E+00;-1,30737255136E+02
3,56500000000E+08;+5,31668748303E+00;-1,28145917977E+02
3,58000000000E+08;+5,17166848100E+00;-1,25563532205E+02
3,59500000000E+08;+5,13219495737E+00;-1,23214452100E+02
3,61000000000E+08;+5,08387285639E+00;-1,20881485106E+02
3,62500000000E+08;+5,02412138320E+00;-1,18652350255E+02
3,64000000000E+08;+4,98116876200E+00;-1,16480988138E+02
3,65500000000E+08;+4,96149671905E+00;-1,14360678117E+02
3,67000000000E+08;+4,94295271017E+00;-1,12344883997E+02
3,68500000000E+08;+4,86683702812E+00;-1,10431340578E+02
3,70000000000E+08;+4,82972240114E+00;-1,08583168349E+02
3,71500000000E+08;+4,79787005811E+00;-1,06806308873E+02
3,73000000000E+08;+4,80275772851E+00;-1,05073051539E+02
3,74500000000E+08;+4,79442909232E+00;-1,03377124272E+02
3,76000000000E+08;+4,78401973591E+00;-1,01709806588E+02
3,77500000000E+08;+4,77304994361E+00;-1,00060393479E+02
3,79000000000E+08;+4,78723396215E+00;-9,84526066724E+01
3,80500000000E+08;+4,81936052325E+00;-9,68872080924E+01
3,82000000000E+08;+4,84652584911E+00;-9,53123098668E+01
3,83500000000E+08;+4,95286396268E+00;-9,38256411252E+01
3,85000000000E+08;+5,05939300581E+00;-9,23874796699E+01
3,86500000000E+08;+5,18973516258E+00;-9,10020871684E+01
3,88000000000E+08;+5,23021015327E+00;-8,97294817473E+01
3,89500000000E+08;+5,17110749383E+00;-8,84311909102E+01
3,91000000000E+08;+5,19446395519E+00;-8,70840434291E+01
3,92500000000E+08;+5,24970127134E+00;-8,58059910935E+01
3,94000000000E+08;+5,32664739488E+00;-8,45180500629E+01
3,95500000000E+08;+5,37316843116E+00;-8,33294328535E+01
3,97000000000E+08;+5,49940840119E+00;-8,21676919627E+01
3,98500000000E+08;+5,54702828436E+00;-8,10082350485E+01
4,00000000000E+08;+5,65771430616E+00;-7,98687000259E+01
4,01500000000E+08;+5,67689553175E+00;-7,88089520364E+01
4,03000000000E+08;+5,77804412960E+00;-7,76458651066E+01
4,04500000000E+08;+5,93423559566E+00;-7,65673298227E+01
4,06000000000E+08;+6,01726174421E+00;-7,55066031261E+01
4,07500000000E+08;+6,12372459724E+00;-7,44441222312E+01
4,09000000000E+08;+6,23147862279E+00;-7,34620571713E+01
4,10500000000E+08;+6,29472114120E+00;-7,24533386576E+01
4,12000000000E+08;+6,38612235805E+00;-7,14630533962E+01
4,13500000000E+08;+6,48812635456E+00;-7,04866552283E+01
4,15000000000E+08;+6,57286240312E+00;-6,95030428907E+01
4,16500000000E+08;+6,71873028411E+00;-6,85721752488E+01
4,18000000000E+08;+6,84049173933E+00;-6,76059329867E+01
4,19500000000E+08;+7,01548257307E+00;-6,66760751506E+01
4,21000000000E+08;+7,15751039853E+00;-6,57732176774E+01
4,22500000000E+08;+7,34032317124E+00;-6,49118450910E+01
4,24000000000E+08;+7,49692629147E+00;-6,40378054083E+01
4,25500000000E+08;+7,65812206251E+00;-6,32176796576E+01
4,27000000000E+08;+7,80618359301E+00;-6,23996886938E+01
4,28500000000E+08;+7,97679623351E+00;-6,16138453568E+01
4,30000000000E+08;+8,13076195062E+00;-6,08045156561E+01
4,31500000000E+08;+8,32882990011E+00;-6,00159668170E+01
4,33000000000E+08;+8,53710580376E+00;-5,92631269908E+01
4,34500000000E+08;+8,69031362251E+00;-5,85296239022E+01
4,36000000000E+08;+8,89627115381E+00;-5,77805758169E+01
4,37500000000E+08;+9,09814221153E+00;-5,70994311592E+01
4,39000000000E+08;+9,28413498261E+00;-5,63831895849E+01
4,40500000000E+08;+9,44694952661E+00;-5,56617181124E+01
4,42000000000E+08;+9,65820189051E+00;-5,49679406314E+01
4,43500000000E+08;+9,88788761729E+00;-5,42601128028E+01
4,45000000000E+08;+1,01450517686E+01;-5,35780093491E+01
4,46500000000E+08;+1,04288550662E+01;-5,29393086764E+01
4,48000000000E+08;+1,06664690509E+01;-5,23096449374E+01
4,49500000000E+08;+1,09194366188E+01;-5,17087429895E+01
4,51000000000E+08;+1,11555925092E+01;-5,11071292733E+01
4,52500000000E+08;+1,13722084171E+01;-5,05221970176E+01
4,54000000000E+08;+1,16016562994E+01;-4,99420072633E+01
4,55500000000E+08;+1,18503836959E+01;-4,93655658573E+01
4,57000000000E+08;+1,21059163891E+01;-4,88088876449E+01
4,58500000000E+08;+1,23785458726E+01;-4,82644038473E+01
4,60000000000E+08;+1,26247533367E+01;-4,77720731144E+01
4,61500000000E+08;+1,28588597594E+01;-4,72368504124E+01
4,63000000000E+08;+1,31208578126E+01;-4,67227956006E+01
4,64500000000E+08;+1,33896706066E+01;-4,62310823298E+01
4,66000000000E+08;+1,36475191631E+01;-4,57786400023E+01
4,67500000000E+08;+1,38733391493E+01;-4,53466802247E+01
4,69000000000E+08;+1,41235871874E+01;-4,48445652925E+01
4,70500000000E+08;+1,43445958972E+01;-4,43903976232E+01
4,72000000000E+08;+1,45542536277E+01;-4,38817475357E+01
4,73500000000E+08;+1,47935359931E+01;-4,33618261806E+01
4,75000000000E+08;+1,50764544457E+01;-4,28642222844E+01
4,76500000000E+08;+1,53963804998E+01;-4,24029188406E+01
4,78000000000E+08;+1,56738570750E+01;-4,19751825014E+01
4,79500000000E+08;+1,58879650884E+01;-4,15596904414E+01
4,81000000000E+08;+1,61196374417E+01;-4,10640147124E+01
4,82500000000E+08;+1,63354337505E+01;-4,05451793957E+01
4,84000000000E+08;+1,66106533777E+01;-3,99763182424E+01
4,85500000000E+08;+1,69777617373E+01;-3,94558020807E+01
4,87000000000E+08;+1,73452147432E+01;-3,89111866224E+01
4,88500000000E+08;+1,77649307371E+01;-3,83620414436E+01
4,90000000000E+08;+1,82409779906E+01;-3,78426911324E+01
4,91500000000E+08;+1,88125687291E+01;-3,73537372925E+01
4,93000000000E+08;+1,93924734404E+01;-3,69520484719E+01
4,94500000000E+08;+2,00008991819E+01;-3,66676386867E+01
4,96000000000E+08;+2,05154327345E+01;-3,64579297575E+01
4,97500000000E+08;+2,09060666557E+01;-3,62644919711E+01
4,99000000000E+08;+2,13030759257E+01;-3,59800492470E+01
5,00500000000E+08;+2,17203320044E+01;-3,56895591441E+01
5,02000000000E+08;+2,21315589249E+01;-3,53459664548E+01
5,03500000000E+08;+2,26135982688E+01;-3,49842929853E+01
5,05000000000E+08;+2,31555862813E+01;-3,46474430271E+01
5,06500000000E+08;+2,37836065496E+01;-3,43610328174E+01
5,08000000000E+08;+2,44209675780E+01;-3,41463688796E+01
5,09500000000E+08;+2,50562470568E+01;-3,39982219600E+01
5,11000000000E+08;+2,56894527353E+01;-3,38457936595E+01
5,12500000000E+08;+2,63108839492E+01;-3,37212311646E+01
5,14000000000E+08;+2,69627025518E+01;-3,36134745619E+01
5,15500000000E+08;+2,76481119527E+01;-3,35624461156E+01
5,17000000000E+08;+2,83824799282E+01;-3,35829072620E+01
5,18500000000E+08;+2,90972975237E+01;-3,36657353474E+01
5,20000000000E+08;+2,97810047642E+01;-3,38111788770E+01
5,21500000000E+08;+3,04785087341E+01;-3,39852160747E+01
5,23000000000E+08;+3,11485372101E+01;-3,42342337132E+01
5,24500000000E+08;+3,17841578267E+01;-3,45524455967E+01
5,26000000000E+08;+3,23171817664E+01;-3,49584430804E+01
5,27500000000E+08;+3,27735864864E+01;-3,52903773260E+01
5,29000000000E+08;+3,33082717981E+01;-3,55630180812E+01
5,30500000000E+08;+3,39079994187E+01;-3,58856983129E+01
5,32000000000E+08;+3,45786321524E+01;-3,63368954944E+01
5,33500000000E+08;+3,51956229759E+01;-3,69250274433E+01
5,35000000000E+08;+3,56878814311E+01;-3,76450286509E+01
5,36500000000E+08;+3,60632983482E+01;-3,84061757098E+01
5,38000000000E+08;+3,63404455587E+01;-3,91666625873E+01
5,39500000000E+08;+3,65944230713E+01;-3,99795671693E+01
5,41000000000E+08;+3,67231380323E+01;-4,08258513332E+01
5,42500000000E+08;+3,67058055497E+01;-4,16965944826E+01
5,44000000000E+08;+3,65686230893E+01;-4,24762750073E+01
5,45500000000E+08;+3,63958186134E+01;-4,31705150098E+01
5,47000000000E+08;+3,62070733156E+01;-4,38543010203E+01
5,48500000000E+08;+3,59536962079E+01;-4,45401859651E+01
5,50000000000E+08;+3,56174826694E+01;-4,51761445529E+01
5,51500000000E+08;+3,52461701660E+01;-4,57555590080E+01
5,53000000000E+08;+3,48672359290E+01;-4,62035477809E+01
5,54500000000E+08;+3,44879301296E+01;-4,66811332514E+01
5,56000000000E+08;+3,40800405722E+01;-4,71573477341E+01
5,57500000000E+08;+3,36611557412E+01;-4,76065772951E+01
5,59000000000E+08;+3,31992454516E+01;-4,79747565483E+01
5,60500000000E+08;+3,27339984257E+01;-4,83058437799E+01
5,62000000000E+08;+3,22864856261E+01;-4,85571294952E+01
5,63500000000E+08;+3,19045513974E+01;-4,88450128988E+01
5,65000000000E+08;+3,15133580146E+01;-4,91460430811E+01
5,66500000000E+08;+3,10513086480E+01;-4,94637125605E+01
5,68000000000E+08;+3,06093555801E+01;-4,97821165473E+01
5,69500000000E+08;+3,01286237097E+01;-5,01064015563E+01
5,71000000000E+08;+2,95666819889E+01;-5,04003699224E+01
5,72500000000E+08;+2,89678110762E+01;-5,06268286524E+01
5,74000000000E+08;+2,83746050757E+01;-5,07926471749E+01
5,75500000000E+08;+2,78046087246E+01;-5,09054755153E+01
5,77000000000E+08;+2,72445222579E+01;-5,09925632226E+01
5,78500000000E+08;+2,66697661226E+01;-5,10538235466E+01
5,80000000000E+08;+2,61160419315E+01;-5,11051015405E+01
5,81500000000E+08;+2,55050207330E+01;-5,11271703066E+01
5,83000000000E+08;+2,49527960400E+01;-5,10969850476E+01
5,84500000000E+08;+2,43715558001E+01;-5,10535339594E+01
5,86000000000E+08;+2,38027302758E+01;-5,09917706362E+01
5,87500000000E+08;+2,32373838272E+01;-5,08734847929E+01
5,89000000000E+08;+2,27152115766E+01;-5,06717186286E+01
5,90500000000E+08;+2,22359015978E+01;-5,04810963852E+01
5,92000000000E+08;+2,18401207721E+01;-5,02603275402E+01
5,93500000000E+08;+2,14750614749E+01;-5,01130168088E+01
5,95000000000E+08;+2,10898587233E+01;-5,00215759719E+01
5,96500000000E+08;+2,06825436416E+01;-4,99505923372E+01
5,98000000000E+08;+2,02745121506E+01;-4,98718336866E+01
5,99500000000E+08;+1,98371847371E+01;-4,97840783187E+01
6,01000000000E+08;+1,93533045313E+01;-4,96388168367E+01
6,02500000000E+08;+1,88823435171E+01;-4,94703930158E+01
6,04000000000E+08;+1,83606724960E+01;-4,92671677802E+01
6,05500000000E+08;+1,78878400760E+01;-4,90256351508E+01
6,07000000000E+08;+1,74589298973E+01;-4,87348883300E+01
6,08500000000E+08;+1,70747260663E+01;-4,84622928649E+01
6,10000000000E+08;+1,67083710798E+01;-4,81903379908E+01
6,11500000000E+08;+1,63677016690E+01;-4,79430277134E+01
6,13000000000E+08;+1,59908763757E+01;-4,77020716149E+01
6,14500000000E+08;+1,56094100578E+01;-4,74224314744E+01
6,16000000000E+08;+1,52057612235E+01;-4,71200968588E+01
