! Planar, Obzor-304, 08055001, 21.3.2/2
! Date: 24.03.2023 10:59:11
! Stimulus(Гц);    S22(R : Ω);        S22(jX : Ω)
1,00000000000E+08;+3,72548263475E+00;-2,07047129540E+02
1,01500000000E+08;+3,62116483475E+00;-2,03899298080E+02
1,03000000000E+08;+3,44035818884E+00;-2,00861693354E+02
1,04500000000E+08;+3,51563858948E+00;-1,97744047878E+02
1,06000000000E+08;+3,27767686141E+00;-1,94660794665E+02
1,07500000000E+08;+3,21034826907E+00;-1,91678153638E+02
1,09000000000E+08;+3,15517198307E+00;-1,89040560395E+02
1,10500000000E+08;+3,15698226268E+00;-1,86356725419E+02
1,12000000000E+08;+3,08956697900E+00;-1,83732465357E+02
1,13500000000E+08;+2,94943413462E+00;-1,81107786461E+02
1,15000000000E+08;+2,97448896916E+00;-1,78669966708E+02
1,16500000000E+08;+2,87065601134E+00;-1,76217384325E+02
1,18000000000E+08;+2,76128211010E+00;-1,73900286488E+02
1,19500000000E+08;+2,75410382138E+00;-1,71557396482E+02
1,21000000000E+08;+2,75559212614E+00;-1,69487194594E+02
1,22500000000E+08;+2,58621516852E+00;-1,67136196442E+02
1,24000000000E+08;+2,51412259112E+00;-1,64963519900E+02
1,25500000000E+08;+2,53295400952E+00;-1,62818428175E+02
1,27000000000E+08;+2,44851094587E+00;-1,60856960238E+02
1,28500000000E+08;+2,40104951875E+00;-1,58721434005E+02
1,30000000000E+08;+2,34679923700E+00;-1,56653911365E+02
1,31500000000E+08;+2,29755682938E+00;-1,54740793537E+02
1,33000000000E+08;+2,20881376372E+00;-1,52895556276E+02
1,34500000000E+08;+2,21758124557E+00;-1,51120657724E+02
1,36000000000E+08;+2,31104953930E+00;-1,49297622590E+02
1,37500000000E+08;+2,31853269282E+00;-1,47655644063E+02
1,39000000000E+08;+2,25004243871E+00;-1,45941869409E+02
1,40500000000E+08;+2,22270804074E+00;-1,44169365943E+02
1,42000000000E+08;+2,11586459752E+00;-1,42585080798E+02
1,43500000000E+08;+2,09852741216E+00;-1,40921447510E+02
1,45000000000E+08;+2,08360881908E+00;-1,39386466896E+02
1,46500000000E+08;+2,00918032968E+00;-1,37686184648E+02
1,48000000000E+08;+2,04322950821E+00;-1,36194848392E+02
1,49500000000E+08;+1,96942754412E+00;-1,34683255038E+02
1,51000000000E+08;+1,97544609286E+00;-1,33154604551E+02
1,52500000000E+08;+1,90685193739E+00;-1,31697435686E+02
1,54000000000E+08;+1,88321291554E+00;-1,30290856038E+02
1,55500000000E+08;+1,89791701810E+00;-1,28898392758E+02
1,57000000000E+08;+1,84363426995E+00;-1,27532410810E+02
1,58500000000E+08;+1,78547885914E+00;-1,26262782423E+02
1,60000000000E+08;+1,72226886668E+00;-1,24948941250E+02
1,61500000000E+08;+1,70891365881E+00;-1,23663961602E+02
1,63000000000E+08;+1,72505616008E+00;-1,22309938779E+02
1,64500000000E+08;+1,69912175036E+00;-1,21031072236E+02
1,66000000000E+08;+1,68547519728E+00;-1,19771614185E+02
1,67500000000E+08;+1,62154168579E+00;-1,18558912331E+02
1,69000000000E+08;+1,58683435154E+00;-1,17420973175E+02
1,70500000000E+08;+1,58461166978E+00;-1,16257803316E+02
1,72000000000E+08;+1,52487977908E+00;-1,15159855596E+02
1,73500000000E+08;+1,51496158991E+00;-1,14032893636E+02
1,75000000000E+08;+1,54718814870E+00;-1,12909218508E+02
1,76500000000E+08;+1,50908522742E+00;-1,11785473870E+02
1,78000000000E+08;+1,54224077492E+00;-1,10675515236E+02
