Угол, град - ДН	Сигнал детектора, о.е. - ДН	
-90	0.000363293	
-90	0.000369268	
-90	0.000366457	
-89	0.000521078	
-89	0.000438652	
-89	0.000336251	
-89	0.000545592	
-89	0.000461013	
-89	0.000460339	
-88	0.000402682	
-88	0.000538666	
-88	0.000445781	
-88	0.000512026	
-88	0.000428449	
-87	0.000428355	
-87	0.000485358	
-87	0.000502733	
-87	0.000537926	
-87	0.000579697	
-87	0.000613123	
-86	0.000475312	
-86	0.000443161	
-86	0.000549914	
-86	0.000501399	
-86	0.000561974	
-86	0.000639534	
-85	0.000362949	
-85	0.000369425	
-85	0.000464639	
-85	0.000606721	
-85	0.000608366	
-84	0.000631027	
-84	0.000633969	
-84	0.000449237	
-84	0.000361273	
-84	0.000381119	
-84	0.000484413	
-83	0.00040792	
-83	0.000513839	
-83	0.000537591	
-83	0.00061592	
-83	0.000680172	
-82	0.000616786	
-82	0.000584834	
-82	0.000853125	
-82	0.000666992	
-82	0.000549911	
-82	0.000597801	
-81	0.000363619	
-81	0.000424268	
-81	0.000457718	
-81	0.000373784	
-81	0.000340124	
-80	0.000308141	
-80	0.000312631	
-80	0.000428368	
-80	0.000359536	
-80	0.000574667	
-80	0.000675079	
-79	0.000836842	
-79	0.00103275	
-79	0.0011535	
-79	0.00128559	
-79	0.00116304	
-78	0.000972376	
-78	0.00109743	
-78	0.00106819	
-78	0.00113913	
-78	0.00113396	
-78	0.000950265	
-77	0.000968713	
-77	0.000978583	
-77	0.000837043	
-77	0.000768401	
-77	0.000891105	
-76	0.00090019	
-76	0.00102109	
-76	0.00101614	
-76	0.000948769	
-76	0.00104552	
-76	0.000700713	
-75	0.000501553	
-75	0.000408946	
-75	0.000342842	
-75	0.000355715	
-75	0.000357519	
-75	0.000433462	
-74	0.00041145	
-74	0.00051587	
-74	0.000670581	
-74	0.00101028	
-74	0.00106308	
-73	0.00145258	
-73	0.00178311	
-73	0.00219389	
-73	0.00255094	
-73	0.00266824	
-73	0.00231435	
-72	0.00219388	
-72	0.00175376	
-72	0.00152538	
-72	0.00127822	
-72	0.00108365	
-71	0.00106302	
-71	0.000899651	
-71	0.000808941	
-71	0.000780881	
-71	0.000773029	
-71	0.000820609	
-70	0.000941272	
-70	0.000657166	
-70	0.000762377	
-70	0.000694076	
-70	0.000681071	
-69	0.000753489	
-69	0.000956273	
-69	0.000780773	
-69	0.000550822	
-69	0.000604116	
-69	0.000640959	
-68	0.000666222	
-68	0.000801139	
-68	0.000795469	
-68	0.000811988	
-68	0.000960849	
-68	0.00129695	
-67	0.00107566	
-67	0.000984455	
-67	0.00086838	
-67	0.000547768	
-67	0.000361372	
-66	0.000460532	
-66	0.000497396	
-66	0.00078151	
-66	0.00103753	
-66	0.00151285	
-66	0.00145101	
-65	0.00074496	
-65	0.000621219	
-65	0.00136628	
-65	0.00146826	
-65	0.000799024	
-64	0.000827327	
-64	0.000966297	
-64	0.000922187	
-64	0.000604276	
-64	0.00110804	
-64	0.00146052	
-63	0.00116189	
-63	0.00115618	
-63	0.00099584	
-63	0.000725298	
-63	0.00144673	
-62	0.00199447	
-62	0.00135676	
-62	0.0014084	
-62	0.00114069	
-62	0.00137395	
-62	0.00125926	
-61	0.00110756	
-61	0.0016577	
-61	0.00101462	
-61	0.0010525	
-61	0.000967067	
-60	0.000838671	
-60	0.000746785	
-60	0.00077807	
-60	0.000822911	
-60	0.000779448	
-60	0.000724037	
-59	0.000617067	
-59	0.000744294	
-59	0.0006442	
-59	0.000591128	
-59	0.000657171	
-58	0.000502057	
-58	0.000562383	
-58	0.000381278	
-58	0.000425125	
-58	0.000393967	
-58	0.000343126	
-57	0.0003373	
-57	0.000559629	
-57	0.000420919	
-57	0.000441455	
-57	0.000409658	
-57	0.000323076	
-56	0.000379706	
-56	0.00053892	
-56	0.000670217	
-56	0.000601657	
-56	0.000312317	
-55	0.000324228	
-55	0.000396443	
-55	0.000429798	
-55	0.000472924	
-55	0.000374357	
-55	0.000489847	
-54	0.00034261	
-54	0.000557137	
-54	0.00146411	
-54	0.00140027	
-54	0.000736714	
-53	0.00103286	
-53	0.000778463	
-53	0.000481342	
-53	0.00104377	
-53	0.00122734	
-53	0.000757535	
-52	0.000950295	
-52	0.00144593	
-52	0.00229056	
-52	0.0022507	
-52	0.00222488	
-51	0.00259329	
-51	0.00269559	
-51	0.0026553	
-51	0.00236551	
-51	0.00175721	
-51	0.00252838	
-50	0.00390291	
-50	0.00456306	
-50	0.00495817	
-50	0.00427806	
-50	0.00273024	
-50	0.0033308	
-49	0.00389179	
-49	0.0030527	
-49	0.0040552	
-49	0.00326172	
-49	0.00441922	
-48	0.00438586	
-48	0.00465353	
-48	0.00497394	
-48	0.00509984	
-48	0.00565462	
-48	0.00575279	
-47	0.0049289	
-47	0.00484069	
-47	0.00571402	
-47	0.00404354	
-47	0.0048468	
-46	0.00530914	
-46	0.00555525	
-46	0.00544371	
-46	0.0050559	
-46	0.00488296	
-46	0.00519012	
-45	0.00544872	
-45	0.00666266	
-45	0.00625387	
-45	0.0066598	
-45	0.00684255	
-44	0.00652327	
-44	0.00644423	
-44	0.00682785	
-44	0.00727147	
-44	0.00738318	
-44	0.00716465	
-43	0.00804525	
-43	0.00768366	
-43	0.00694041	
-43	0.00700565	
-43	0.00686573	
-42	0.00919613	
-42	0.00940994	
-42	0.00980316	
-42	0.00884362	
-42	0.00918939	
-42	0.00944944	
-41	0.00956699	
-41	0.0109855	
-41	0.0125625	
-41	0.0143173	
-41	0.0133431	
-40	0.0149207	
-40	0.01561	
-40	0.0170664	
-40	0.0172881	
-40	0.0176988	
-40	0.0168256	
-39	0.0171841	
-39	0.0152969	
-39	0.0148766	
-39	0.0159857	
-39	0.01803	
-39	0.0223444	
-38	0.0264269	
-38	0.0236694	
-38	0.0238689	
-38	0.03102	
-38	0.0300464	
-37	0.0296367	
