Óãîë, ãðàä - ÄÍ	Ñèãíàë äåòåêòîðà, î.å. - ÄÍ	
-90	0.019224	
-90	0.0184411	
-90	0.0215319	
-89	0.0195414	
-89	0.0185975	
-89	0.0206241	
-89	0.0229696	
-89	0.0241941	
-89	0.0224505	
-88	0.0227317	
-88	0.0229107	
-88	0.0203728	
-88	0.0203019	
-88	0.0281946	
-87	0.0268379	
-87	0.0220497	
-87	0.0202979	
-87	0.0226573	
-87	0.0239965	
-87	0.0251832	
-86	0.0269129	
-86	0.0275586	
-86	0.0270048	
-86	0.0295325	
-86	0.027509	
-86	0.0290056	
-85	0.0296772	
-85	0.0279194	
-85	0.028481	
-85	0.0283795	
-85	0.0285805	
-84	0.0288495	
-84	0.0285574	
-84	0.0307167	
-84	0.0280077	
-84	0.0288576	
-84	0.0315609	
-83	0.0289253	
-83	0.0331872	
-83	0.0317003	
-83	0.0289838	
-83	0.0315179	
-82	0.0311112	
-82	0.0341034	
-82	0.0359948	
-82	0.0342722	
-82	0.0366138	
-82	0.0357954	
-81	0.038997	
-81	0.0380329	
-81	0.0366149	
-81	0.0375282	
-81	0.0399025	
-80	0.0390564	
-80	0.0400771	
-80	0.0403621	
-80	0.0420522	
-80	0.0421227	
-80	0.0428989	
-79	0.0457423	
-79	0.0447826	
-79	0.0466347	
-79	0.0465949	
-79	0.0476495	
-78	0.0479008	
-78	0.0459762	
-78	0.0508891	
-78	0.0478146	
-78	0.0482806	
-78	0.0518933	
-77	0.0487345	
-77	0.047742	
-77	0.0517964	
-77	0.0468283	
-77	0.0446404	
-76	0.044938	
-76	0.0485401	
-76	0.0567424	
-76	0.0523094	
-76	0.0607641	
-76	0.0601995	
-75	0.0549179	
-75	0.0547501	
-75	0.0608798	
-75	0.055589	
-75	0.0612565	
-75	0.059454	
-74	0.06128	
-74	0.0604779	
-74	0.0627049	
-74	0.0626194	
-74	0.0649821	
-73	0.0634647	
-73	0.0671698	
-73	0.0694095	
-73	0.0681143	
-73	0.0655673	
-73	0.0672276	
-72	0.0710458	
-72	0.0733411	
-72	0.0739685	
-72	0.07317	
-72	0.0745814	
-71	0.0740939	
-71	0.0742523	
-71	0.0760333	
-71	0.0779869	
-71	0.081495	
-71	0.0833125	
-70	0.087525	
-70	0.0867823	
-70	0.0838262	
-70	0.0866992	
-70	0.086922	
-69	0.0826817	
-69	0.0858509	
-69	0.0903498	
-69	0.0918453	
-69	0.0942716	
-69	0.0920126	
-68	0.0950959	
-68	0.0994632	
-68	0.0933037	
-68	0.0923901	
-68	0.0921894	
-68	0.0876726	
-67	0.0922593	
-67	0.0896994	
-67	0.0935679	
-67	0.0944192	
-67	0.0969314	
-66	0.100764	
-66	0.100851	
-66	0.10593	
-66	0.104518	
-66	0.102442	
-66	0.103258	
-65	0.099519	
-65	0.105562	
-65	0.110365	
-65	0.112862	
-65	0.116217	
-64	0.107612	
-64	0.114021	
-64	0.117343	
-64	0.117922	
-64	0.122088	
-64	0.123156	
-63	0.123259	
-63	0.123929	
-63	0.121092	
-63	0.124057	
-63	0.120938	
-62	0.129021	
-62	0.128191	
-62	0.129217	
-62	0.133708	
-62	0.129699	
-62	0.135006	
-61	0.135176	
-61	0.136064	
-61	0.134351	
-61	0.141011	
-61	0.132591	
-60	0.137778	
-60	0.146592	
-60	0.139698	
-60	0.138978	
-60	0.144217	
-60	0.151315	
-59	0.157071	
