Óãîë, ãðàä - ÄÍ	Ñèãíàë äåòåêòîðà, î.å. - ÄÍ	
-90	0.0293109	
-90	0.030253	
-90	0.0298197	
-89	0.0304957	
-89	0.0313536	
-89	0.0319133	
-89	0.0331102	
-89	0.0333265	
-89	0.0336943	
-88	0.0360639	
-88	0.0404456	
-88	0.0397231	
-88	0.040523	
-88	0.0430623	
-87	0.0440725	
-87	0.0436883	
-87	0.0454373	
-87	0.0452955	
-87	0.0447201	
-87	0.0446886	
-86	0.0441128	
-86	0.0430362	
-86	0.042298	
-86	0.0417371	
-86	0.0410965	
-86	0.0412709	
-85	0.0401631	
-85	0.0393188	
-85	0.0419229	
-85	0.0434173	
-85	0.0449025	
-84	0.0457476	
-84	0.0415949	
-84	0.0423033	
-84	0.0407747	
-84	0.0403951	
-84	0.0410417	
-83	0.0419845	
-83	0.0420761	
-83	0.0436735	
-83	0.0433854	
-83	0.0439631	
-82	0.0445432	
-82	0.044788	
-82	0.0456405	
-82	0.0463256	
-82	0.0479063	
-82	0.0480269	
-81	0.0485464	
-81	0.048476	
-81	0.0511306	
-81	0.0494285	
-81	0.0493825	
-80	0.0486424	
-80	0.0494299	
-80	0.0517639	
-80	0.050153	
-80	0.0506799	
-80	0.0508589	
-79	0.049123	
-79	0.0496279	
-79	0.0494028	
-79	0.0492931	
-79	0.0490649	
-78	0.0494769	
-78	0.0487594	
-78	0.0499192	
-78	0.0506555	
-78	0.0514281	
-78	0.0529591	
-77	0.0530654	
-77	0.0530127	
-77	0.0550928	
-77	0.0582626	
-77	0.0571544	
-76	0.0581247	
-76	0.057722	
-76	0.060307	
-76	0.0598065	
-76	0.0626549	
-76	0.0629332	
-75	0.0624996	
-75	0.0646498	
-75	0.0664287	
-75	0.0663175	
-75	0.0681541	
-75	0.0683449	
-74	0.0687977	
-74	0.069598	
-74	0.0697917	
-74	0.071162	
-74	0.0687963	
-73	0.0707761	
-73	0.0708602	
-73	0.0695351	
-73	0.0693496	
-73	0.0697782	
-73	0.0703622	
-72	0.0718008	
-72	0.0711301	
-72	0.0713012	
-72	0.0719085	
-72	0.0723223	
-71	0.0735369	
-71	0.0752439	
-71	0.0752168	
-71	0.0758106	
-71	0.0757891	
-71	0.0770099	
-70	0.0777948	
-70	0.0774497	
-70	0.0782458	
-70	0.0804978	
-70	0.0793475	
-69	0.0814518	
-69	0.0816091	
-69	0.0794272	
-69	0.0814287	
-69	0.0879459	
-69	0.0866125	
-68	0.086295	
-68	0.0876222	
-68	0.0895926	
-68	0.0904591	
-68	0.0914052	
-68	0.0927725	
-67	0.0942886	
-67	0.096062	
-67	0.0971294	
-67	0.0982859	
-67	0.0983982	
-66	0.100011	
-66	0.0997931	
-66	0.10275	
-66	0.100383	
-66	0.101691	
-66	0.103363	
-65	0.10325	
-65	0.107993	
-65	0.105545	
-65	0.106672	
-65	0.107011	
-64	0.108114	
-64	0.108849	
-64	0.110739	
-64	0.110768	
-64	0.112194	
-64	0.114043	
-63	0.114122	
-63	0.114412	
-63	0.11694	
-63	0.117429	
-63	0.119726	
-62	0.121006	
-62	0.119794	
-62	0.123737	
-62	0.124187	
-62	0.125877	
-62	0.128696	
-61	0.129522	
-61	0.13308	
-61	0.135712	
-61	0.137298	
-61	0.141478	
-60	0.143466	
-60	0.147493	
-60	0.151024	
-60	0.155371	
-60	0.159557	
-60	0.163231	
-59	0.168039	
-59	0.172501	
-59	0.174836	
-59	0.178365	
-59	0.182743	
-58	0.185124	
-58	0.188766	
-58	0.191316	
-58	0.194627	
-58	0.199461	
-58	0.203122	
-57	0.202889	
-57	0.205673	
-57	0.206292	
-57	0.207516	
-57	0.213132	
-57	0.214881	
-56	0.21349	
-56	0.212308	
-56	0.215229	
-56	0.217205	
-56	0.219747	
-55	0.221681	
-55	0.223404	
-55	0.222578	
-55	0.224487	
-55	0.225639	
-55	0.228966	
-54	0.227728	
-54	0.228515	
-54	0.232897	
-54	0.23616	
-54	0.237026	
-53	0.242944	
-53	0.245195	
-53	0.249146	
-53	0.255909	
-53	0.259099	
-53	0.264567	
-52	0.270727	
-52	0.277955	
-52	0.284709	
-52	0.290886	
-52	0.295554	
-51	0.301466	
-51	0.305125	
-51	0.310389	
-51	0.315885	
-51	0.319894	
-51	0.324565	
-50	0.328272	
-50	0.332255	
-50	0.338325	
-50	0.34152	
-50	0.344018	
-50	0.346431	
-49	0.350859	
-49	0.352468	
-49	0.355733	
-49	0.359561	
-49	0.361548	
-48	0.363371	
-48	0.363498	
-48	0.367207	
-48	0.36587	
-48	0.367096	
