Óãîë, ãðàä - ÄÍ	Ñèãíàë äåòåêòîðà, î.å. - ÄÍ	
-90	0.000719398	
-90	0.000363768	
-90	0.000377069	
-89	0.000334883	
-89	0.000316614	
-89	0.000408645	
-89	0.000385703	
-89	0.000419972	
-89	0.000289421	
-88	0.000352833	
-88	0.000316703	
-88	0.000404568	
-88	0.000333415	
-88	0.000227495	
-87	0.000350216	
-87	0.000329267	
-87	0.000378345	
-87	0.000300098	
-87	0.000289793	
-87	0.00044221	
-86	0.000411185	
-86	0.000380164	
-86	0.000380453	
-86	0.000284589	
-86	0.000458277	
-86	0.00031399	
-85	0.000244282	
-85	0.00036664	
-85	0.000449392	
-85	0.000244301	
-85	0.000304243	
-84	0.000355345	
-84	0.000415492	
-84	0.000329446	
-84	0.000361864	
-84	0.000357382	
-84	0.000336427	
-83	0.000337496	
-83	0.000284981	
-83	0.0002917	
-83	0.000290136	
-83	0.000442174	
-82	0.000361705	
-82	0.000204842	
-82	0.000279236	
-82	0.000400558	
-82	0.000292317	
-82	0.000423673	
-81	0.000282194	
-81	0.000336418	
-81	0.000275371	
-81	0.000346646	
-81	0.000428606	
-80	0.00029356	
-80	0.000314566	
-80	0.000258978	
-80	0.000443276	
-80	0.000363793	
-80	0.00036216	
-79	0.000233461	
-79	0.000362264	
-79	0.000439462	
-79	0.000234588	
-79	0.000342136	
-78	0.000382187	
-78	0.000351452	
-78	0.000383133	
-78	0.000271694	
-78	0.000354897	
-78	0.000402017	
-77	0.000328422	
-77	0.000361845	
-77	0.000306417	
-77	0.000358374	
-77	0.000305051	
-76	0.000309677	
-76	0.000274355	
-76	0.00037346	
-76	0.000314942	
-76	0.000361393	
-76	0.00036806	
-75	0.000299914	
-75	0.000316201	
-75	0.000308547	
-75	0.000304181	
-75	0.000281801	
-75	0.000280796	
-74	0.000427013	
-74	0.000326947	
-74	0.000368002	
-74	0.000374342	
-74	0.000307204	
-73	0.000426055	
-73	0.000316686	
-73	0.00038329	
-73	0.000379095	
-73	0.000343085	
-73	0.000401313	
-72	0.000330353	
-72	0.000273855	
-72	0.000363016	
-72	0.000341785	
-72	0.000429305	
-71	0.000316181	
-71	0.000338652	
-71	0.000247096	
-71	0.000333174	
-71	0.000322032	
-71	0.000356265	
-70	0.000316176	
-70	0.000377097	
-70	0.000337012	
-70	0.000326684	
-70	0.000297926	
-69	0.000309017	
-69	0.00030312	
-69	0.00034283	
-69	0.000411405	
-69	0.000309175	
-69	0.000219774	
-68	0.000399887	
-68	0.000271252	
-68	0.000304374	
-68	0.000374601	
-68	0.000317771	
-68	0.000373565	
-67	0.000406587	
-67	0.000314383	
-67	0.000277922	
-67	0.000281886	
-67	0.000416914	
-66	0.000206674	
-66	0.00036131	
-66	0.000397221	
-66	0.000347149	
-66	0.000350819	
-66	0.000404811	
-65	0.000288723	
-65	0.000303119	
-65	0.000353437	
-65	0.000377316	
-65	0.000301653	
-64	0.000293194	
-64	0.000290121	
-64	0.000404893	
-64	0.00031118	
-64	0.000452127	
-64	0.000320189	
-63	0.000316104	
-63	0.000243301	
-63	0.000335085	
-63	0.000362602	
-63	0.000355729	
-62	0.000247641	
-62	0.000319391	
-62	0.00038971	
-62	0.000296803	
-62	0.000391623	
-62	0.000465385	
-61	0.000372532	
-61	0.000384035	
-61	0.000317786	
-61	0.000313324	
-61	0.000395667	
-60	0.00037584	
-60	0.000299188	
-60	0.00033416	
-60	0.000341516	
-60	0.000304069	
-60	0.000241805	
-59	0.000421259	
-59	0.000286265	
-59	0.000355633	
-59	0.000361652	
-59	0.000370086	
-58	0.000400709	
-58	0.000232956	
-58	0.000285647	
-58	0.000339347	
-58	0.000367282	
-58	0.000366053	
-57	0.000402488	
-57	0.000346649	
-57	0.000354513	
-57	0.000289007	
-57	0.000255805	
-57	0.000360124	
-56	0.000298915	
-56	0.000249168	
-56	0.000367634	
-56	0.000397919	
-56	0.000407665	
-55	0.000365456	
-55	0.000421587	
-55	0.000312311	
-55	0.000447898	
-55	0.000364854	
-55	0.000326516	
-54	0.000366627	
-54	0.000275391	
-54	0.000346115	
-54	0.000293632	
-54	0.000317062	
-53	0.000407233	
-53	0.000385163	
-53	0.000351281	
-53	0.000446951	
-53	0.000477009	
-53	0.000286476	
-52	0.000381161	
-52	0.000470847	
-52	0.000346656	
-52	0.000470289	
-52	0.000407504	
-51	0.000383697	
-51	0.00049023	
-51	0.000367445	
-51	0.000391085	
-51	0.000471063	
-51	0.000330324	
-50	0.000371199	
-50	0.000453349	
-50	0.000330015	
-50	0.000334325	
-50	0.000388305	
-50	0.000316831	
-49	0.000411431	
-49	0.000342173	
-49	0.000385821	
-49	0.000370256	
-49	0.000431007	
-48	0.000374858	
-48	0.000364213	
-48	0.00050467	
-48	0.000496971	
-48	0.000378624	
-48	0.000379508	
-47	0.000505547	
-47	0.000510622	
-47	0.000448772	
-47	0.000441035	
-47	0.000552986	
-46	0.000571214	
-46	0.000469125	
-46	0.000585805	
-46	0.000653647	
-46	0.000640894	
-46	0.000729602	
-45	0.000625656	
-45	0.000708823	
-45	0.000752426	
-45	0.00075825	
-45	0.00078988	
-44	0.00093386	
-44	0.000956661	
-44	0.000948974	
-44	0.00108456	
-44	0.0010098	
-44	0.00104281	
-43	0.00109334	
-43	0.00109137	
-43	0.00121985	
-43	0.00117628	
-43	0.00127886	
-42	0.00123764	
-42	0.00132569	
-42	0.00133234	
-42	0.001359	
-42	0.00152563	
-42	0.00137216	
-41	0.00172031	
-41	0.00166676	
-41	0.00162057	
-41	0.00179597	
-41	0.00182654	
-40	0.0018622	
-40	0.00198452	
-40	0.00199744	
-40	0.00212278	
-40	0.00216143	
-40	0.00216016	
-39	0.00225015	
-39	0.00232748	
-39	0.00219724	
-39	0.002352	
-39	0.00232218	
-39	0.002367	
-38	0.00244923	
-38	0.00244414	
-38	0.00259647	
-38	0.00258002	
-38	0.00283738	
-37	0.00260727	
-37	0.00292322	
-37	0.0030462	
-37	0.00290201	
-37	0.00316586	
-37	0.0032007	
-36	0.00332874	
-36	0.00334464	
-36	0.00357413	
-36	0.00360947	
-36	0.00384404	
-35	0.00390059	
-35	0.00390413	
-35	0.00416623	
-35	0.00431877	
-35	0.00448998	
-35	0.0045094	
-34	0.00458971	
-34	0.00436136	
-34	0.00462604	
-34	0.00465227	
-34	0.00454723	
-33	0.004899	
-33	0.00477102	
-33	0.00482326	
-33	0.00498506	
-33	0.00493728	
-33	0.00503875	
-32	0.00494259	
-32	0.00499872	
-32	0.00501627	
-32	0.00511366	
-32	0.00497318	
-32	0.00498921	
-31	0.00512193	
-31	0.00504094	
-31	0.00526853	
-31	0.00504115	
-31	0.00523718	
-30	0.00534975	
-30	0.00539202	
-30	0.00533153	
-30	0.00539869	
-30	0.00550814	
-30	0.00547563	
-29	0.00568584	
-29	0.00551458	
-29	0.00566877	
-29	0.00575712	
-29	0.00572424	
-28	0.00597941	
-28	0.00604767	
-28	0.00606255	
-28	0.00609647	
-28	0.00633699	
-28	0.00657895	
-27	0.00679141	
-27	0.00707437	
-27	0.00722886	
-27	0.00738918	
-27	0.00758423	
-26	0.0078615	
-26	0.00820965	
-26	0.00838797	
-26	0.00870503	
-26	0.00929761	
-26	0.00981465	
-25	0.00996075	
-25	0.0104387	
-25	0.011058	
-25	0.011404	
-25	0.0122627	
-24	0.0127992	
-24	0.0132533	
-24	0.0139357	
-24	0.0147812	
-24	0.0155939	
-24	0.0167323	
-23	0.017591	
-23	0.0187035	
-23	0.0197888	
-23	0.021057	
-23	0.0224475	
-22	0.0238642	
-22	0.0253243	
-22	0.0266636	
-22	0.0279714	
-22	0.0291519	
-22	0.0307702	
-21	0.0323364	
-21	0.0332336	
-21	0.0354695	
-21	0.0370691	
-21	0.0392231	
-21	0.0411302	
-20	0.0431108	
-20	0.0449269	
-20	0.0468162	
-20	0.0488007	
-20	0.0505649	
-19	0.0535626	
-19	0.0559049	
-19	0.0583096	
-19	0.0611077	
-19	0.0633971	
-19	0.0658416	
-18	0.0684018	
-18	0.0710343	
-18	0.0735938	
-18	0.0770631	
-18	0.0799913	
-17	0.0829366	
-17	0.0859557	
-17	0.0888725	
-17	0.0919159	
-17	0.0955499	
-17	0.0986049	
-16	0.10304	
-16	0.107412	
-16	0.11124	
-16	0.116574	
-16	0.121179	
-15	0.125257	
-15	0.130269	
-15	0.135275	
-15	0.140583	
-15	0.146051	
-15	0.150658	
-14	0.157269	
-14	0.16284	
-14	0.168353	
-14	0.173674	
-14	0.179448	
-14	0.186207	
-13	0.190918	
-13	0.198069	
-13	0.204798	
-13	0.210091	
-13	0.218068	
-12	0.224358	
-12	0.231538	
-12	0.239318	
-12	0.246073	
-12	0.254505	
-12	0.261414	
-11	0.269335	
-11	0.278091	
-11	0.285707	
-11	0.295074	
-11	0.304014	
-10	0.312562	
-10	0.321612	
-10	0.327574	
-10	0.338261	
-10	0.346038	
-10	0.355543	
-9	0.364023	
-9	0.371963	
-9	0.382607	
-9	0.390982	
-9	0.397183	
-8	0.40596	
-8	0.41319	
-8	0.422448	
-8	0.42979	
-8	0.437848	
-8	0.446611	
-7	0.4514	
-7	0.45945	
-7	0.467079	
-7	0.471584	
-7	0.480291	
-6	0.485119	
-6	0.493075	
-6	0.498869	
-6	0.503194	
-6	0.510562	
-6	0.514187	
-5	0.519953	
-5	0.52458	
-5	0.527367	
-5	0.53265	
-5	0.537866	
-4	0.544153	
-4	0.55124	
-4	0.556422	
-4	0.56394	
-4	0.566544	
-4	0.571302	
-3	0.575708	
-3	0.580181	
-3	0.588768	
-3	0.594126	
-3	0.601501	
-3	0.608557	
-2	0.612896	
-2	0.621872	
-2	0.627315	
-2	0.635129	
-2	0.642924	
-1	0.649212	
-1	0.659022	
-1	0.665504	
-1	0.672635	
-1	0.682101	
-1	0.686527	
-0	0.696343	
-0	0.702276	
0	0.710221	
0	0.721552	
0	0.727137	
1	0.737122	
1	0.742781	
1	0.75073	
1	0.759628	
1	0.76543	
1	0.774714	
2	0.778803	
2	0.783548	
2	0.791436	
2	0.793633	
2	0.800548	
3	0.802866	
3	0.80426	
3	0.80992	
3	0.809377	
3	0.813298	
3	0.812125	
4	0.809941	
4	0.811367	
4	0.807741	
4	0.806497	
4	0.803943	
4	0.798944	
5	0.798086	
5	0.790549	
5	0.788662	
5	0.784028	
5	0.778702	
6	0.77603	
6	0.769376	
6	0.764635	
6	0.761929	
6	0.753904	
6	0.754328	
7	0.746926	
7	0.742041	
7	0.73808	
7	0.732508	
7	0.732863	
8	0.726902	
8	0.724288	
8	0.722958	
8	0.716399	
8	0.716877	
8	0.712148	
9	0.710892	
9	0.708682	
9	0.703174	
9	0.703351	
9	0.69852	
10	0.694834	
10	0.691154	
10	0.687108	
10	0.685781	
10	0.68036	
10	0.675196	
11	0.673051	
11	0.666049	
11	0.663158	
11	0.655072	
11	0.647184	
12	0.643329	
12	0.6335	
12	0.626784	
12	0.618598	
12	0.608814	
12	0.601778	
13	0.59063	
13	0.581613	
13	0.57006	
13	0.558882	
13	0.55021	
14	0.537846	
14	0.527435	
14	0.515603	
14	0.504302	
14	0.496358	
14	0.484675	
15	0.475309	
15	0.465464	
15	0.455469	
15	0.448949	
15	0.440454	
15	0.433973	
16	0.426225	
16	0.418124	
16	0.413006	
16	0.405128	
16	0.399177	
17	0.39389	
17	0.386262	
17	0.382153	
17	0.375216	
17	0.368984	
17	0.361999	
18	0.355346	
18	0.350501	
18	0.342674	
18	0.334409	
18	0.327299	
19	0.318028	
19	0.3099	
19	0.300626	
19	0.291367	
19	0.28154	
19	0.2715	
20	0.262592	
20	0.252674	
20	0.242983	
20	0.233636	
20	0.223309	
21	0.215418	
21	0.206486	
21	0.198073	
21	0.190828	
21	0.183458	
21	0.177283	
22	0.170742	
22	0.16566	
22	0.16116	
22	0.156232	
22	0.152714	
22	0.148916	
23	0.145659	
23	0.143179	
23	0.140523	
23	0.138632	
23	0.136369	
24	0.134145	
24	0.132592	
24	0.130397	
24	0.128846	
24	0.12704	
24	0.124433	
25	0.122615	
25	0.119959	
25	0.117136	
25	0.11421	
25	0.111056	
26	0.108285	
26	0.104421	
26	0.100928	
26	0.097286	
26	0.0934525	
26	0.0900839	
27	0.0861113	
27	0.0827068	
27	0.0790865	
27	0.0753075	
27	0.0721723	
28	0.0687477	
28	0.0656368	
28	0.0630788	
28	0.0603486	
28	0.0581838	
28	0.0562076	
29	0.0541227	
29	0.0523621	
29	0.0505851	
29	0.0492119	
29	0.0480125	
30	0.0467348	
30	0.0457058	
30	0.0444314	
30	0.0437566	
30	0.042744	
30	0.0419113	
31	0.0409162	
31	0.0396736	
31	0.0386966	
31	0.0372392	
31	0.0360735	
32	0.0350259	
32	0.0334839	
32	0.0321171	
32	0.0306677	
32	0.0291604	
32	0.0275881	
33	0.0261858	
33	0.0247933	
33	0.0233906	
33	0.0222117	
33	0.0210636	
33	0.0200369	
34	0.0191332	
34	0.018394	
34	0.0177237	
34	0.0171813	
34	0.0166636	
35	0.0163369	
35	0.0162294	
35	0.015903	
35	0.0161235	
35	0.0159358	
35	0.0160363	
36	0.0162518	
36	0.0162708	
36	0.0161281	
36	0.0161658	
36	0.0162472	
37	0.0160304	
37	0.0159076	
37	0.0157425	
37	0.0150643	
37	0.0148939	
37	0.0143009	
38	0.0136418	
38	0.0129572	
38	0.0123249	
38	0.0117076	
38	0.0111759	
39	0.0106165	
39	0.0100552	
39	0.00970394	
39	0.00934892	
39	0.00910998	
39	0.00890974	
40	0.00896378	
40	0.0090228	
40	0.00918883	
40	0.00958104	
40	0.00976987	
40	0.0104832	
41	0.0108554	
41	0.0113516	
41	0.0121945	
41	0.0124261	
41	0.0131619	
42	0.0135052	
42	0.0137765	
42	0.0141221	
42	0.014028	
42	0.0141089	
42	0.0138328	
43	0.0134881	
43	0.0130401	
43	0.0125803	
43	0.0119726	
43	0.0113637	
44	0.0108938	
44	0.0100953	
44	0.00939845	
44	0.00902958	
44	0.00858863	
44	0.0080479	
45	0.00778773	
45	0.00743765	
45	0.00723354	
45	0.00732162	
45	0.00732985	
46	0.00743996	
46	0.00748424	
46	0.00762103	
46	0.00793699	
46	0.00818716	
46	0.00855501	
47	0.00859312	
47	0.00891509	
47	0.00879051	
47	0.00866933	
47	0.00858311	
48	0.00852971	
48	0.00838259	
48	0.00796092	
48	0.00766207	
48	0.0075293	
48	0.00727944	
49	0.00704739	
49	0.00692165	
49	0.00670983	
49	0.00638153	
49	0.00646532	
50	0.00608629	
50	0.00598505	
50	0.00599873	
50	0.0057841	
50	0.00593521	
50	0.00601394	
51	0.00601029	
51	0.006228	
51	0.00633373	
51	0.00649263	
51	0.00654803	
51	0.00683422	
52	0.0066715	
52	0.00658533	
52	0.0065635	
52	0.00663729	
52	0.0065619	
53	0.00638412	
53	0.0062879	
53	0.00612565	
53	0.00595912	
53	0.00575299	
53	0.00575084	
54	0.00550837	
54	0.00529379	
54	0.00544383	
54	0.00520464	
54	0.00506702	
55	0.00494165	
55	0.00480178	
55	0.00470163	
55	0.00462975	
55	0.00453797	
55	0.00425302	
56	0.00429627	
56	0.00385017	
56	0.00381521	
56	0.00384156	
56	0.00345044	
57	0.00318848	
57	0.00309109	
57	0.00299188	
57	0.00285175	
57	0.00298373	
57	0.0028887	
58	0.00275351	
58	0.00312112	
58	0.0030066	
58	0.00316987	
58	0.00339035	
58	0.00351432	
59	0.00371658	
59	0.00395645	
59	0.00397157	
59	0.00400752	
59	0.0041293	
60	0.00405682	
60	0.00409504	
60	0.00387699	
60	0.00356982	
60	0.00339317	
60	0.00306965	
61	0.00272921	
61	0.00256581	
61	0.0020312	
61	0.00162515	
61	0.00153638	
62	0.00119339	
62	0.000845986	
62	0.000879849	
62	0.000658849	
62	0.000678573	
62	0.000685353	
63	0.000810109	
63	0.00110501	
63	0.00127088	
63	0.00144167	
63	0.00153639	
64	0.00180306	
64	0.00198033	
64	0.00220938	
64	0.00240934	
64	0.00244695	
64	0.0025267	
65	0.00242566	
65	0.0023519	
65	0.00199989	
65	0.00212456	
65	0.001604	
66	0.00149252	
66	0.00120813	
66	0.000948124	
66	0.000792976	
66	0.000570995	
66	0.000673525	
67	0.000495196	
67	0.000326135	
67	0.00041506	
67	0.000481986	
67	0.000715042	
68	0.000533855	
68	0.000533942	
68	0.000630101	
68	0.00076166	
68	0.00103937	
68	0.000878484	
69	0.00089536	
69	0.000900951	
69	0.000759315	
69	0.000831144	
69	0.000844894	
69	0.000618254	
70	0.000547966	
70	0.000510625	
70	0.000445124	
70	0.00040415	
70	0.000456082	
71	0.000328613	
71	0.000507293	
71	0.000404086	
71	0.000350325	
71	0.000506498	
71	0.000532339	
72	0.00060288	
72	0.000765502	
72	0.00082094	
72	0.000774633	
72	0.00113473	
73	0.000990948	
73	0.000846722	
73	0.000996843	
73	0.000769466	
73	0.000873539	
73	0.000718788	
74	0.000623387	
74	0.000532128	
74	0.000494737	
74	0.000442954	
74	0.000352366	
75	0.000302395	
75	0.000397718	
75	0.000357292	
75	0.000288085	
75	0.000309024	
75	0.000311975	
76	0.000399345	
76	0.000430924	
76	0.00028981	
76	0.000663885	
76	0.000629362	
76	0.000594857	
77	0.000743125	
77	0.000785974	
77	0.000841978	
77	0.00078448	
77	0.000742344	
78	0.000801328	
78	0.000759588	
78	0.000725434	
78	0.000613174	
78	0.000569561	
78	0.000359574	
79	0.000426252	
79	0.000341824	
79	0.000291812	
79	0.000354812	
79	0.000297698	
80	0.000316945	
80	0.000284315	
80	0.000382995	
80	0.000291305	
80	0.000322523	
80	0.000358746	
81	0.000393148	
81	0.000525586	
81	0.000438494	
81	0.000691866	
81	0.000674275	
82	0.00058166	
82	0.000718785	
82	0.000811152	
82	0.000691125	
82	0.000878842	
82	0.000864009	
83	0.000770704	
83	0.000853787	
83	0.00080026	
83	0.00066475	
83	0.000669727	
84	0.000444888	
84	0.000419043	
84	0.000599192	
84	0.000398911	
84	0.000356224	
84	0.000372956	
85	0.000286586	
85	0.000418368	
85	0.000369782	
85	0.000292384	
85	0.000254997	
86	0.000284353	
86	0.00030231	
86	0.000274815	
86	0.00040787	
86	0.000402639	
86	0.000324001	
87	0.000470622	
87	0.000403104	
87	0.000417709	
87	0.000487882	
87	0.000408179	
87	0.000466475	
88	0.000459273	
88	0.000461252	
88	0.000418725	
88	0.000404205	
88	0.000366896	
89	0.000281629	
89	0.000325071	
89	0.000397921	
89	0.000290009	
89	0.00029414	
89	0.000324293	
90	0.000266644	
90	0.000333787	
