Óãîë, ãðàä - ÄÍ	Ñèãíàë äåòåêòîðà, î.å. - ÄÍ	
-90	0.00214314	
-90	0.000386148	
-90	0.000354048	
-89	0.000296874	
-89	0.000287956	
-89	0.000420087	
-89	0.000292572	
-89	0.000280685	
-89	0.000332427	
-88	0.000337644	
-88	0.000254401	
-88	0.000316905	
-88	0.000360379	
-88	0.000351001	
-87	0.000302215	
-87	0.000285422	
-87	0.000250118	
-87	0.000385289	
-87	0.000295515	
-87	0.00023044	
-86	0.000314955	
-86	0.000351883	
-86	0.000309497	
-86	0.000297277	
-86	0.000383838	
-86	0.000325282	
-85	0.000375466	
-85	0.00028045	
-85	0.000399883	
-85	0.000326428	
-85	0.000272323	
-84	0.000273427	
-84	0.000384311	
-84	0.000310676	
-84	0.000330262	
-84	0.000311017	
-84	0.000373251	
-83	0.00037437	
-83	0.000273179	
-83	0.000378053	
-83	0.000438088	
-83	0.000384609	
-82	0.000264482	
-82	0.00029721	
-82	0.00027379	
-82	0.000322666	
-82	0.000344357	
-82	0.000278823	
-81	0.000304748	
-81	0.000303819	
-81	0.000293187	
-81	0.000322702	
-81	0.000378379	
-80	0.000317234	
-80	0.000318617	
-80	0.000344878	
-80	0.000255853	
-80	0.00032219	
-80	0.000326098	
-79	0.000375412	
-79	0.000303017	
-79	0.000276651	
-79	0.000244772	
-79	0.000259642	
-78	0.000351531	
-78	0.000403096	
-78	0.000334378	
-78	0.000284246	
-78	0.000264147	
-78	0.000330893	
-77	0.000298039	
-77	0.000352204	
-77	0.000415185	
-77	0.000350056	
-77	0.000374551	
-76	0.000278893	
-76	0.0002855	
-76	0.000374642	
-76	0.00025291	
-76	0.000269328	
-76	0.000373384	
-75	0.000404355	
-75	0.000265067	
-75	0.000250058	
-75	0.000346072	
-75	0.000268871	
-75	0.000292099	
-74	0.000245588	
-74	0.000322751	
-74	0.000284372	
-74	0.000238806	
-74	0.000283173	
-73	0.000340637	
-73	0.000343275	
-73	0.000213468	
-73	0.000335667	
-73	0.000507652	
-73	0.000410627	
-72	0.000287294	
-72	0.000252865	
