Óãîë, ãðàä - ÄÍ	Ñèãíàë äåòåêòîðà, î.å. - ÄÍ	
-90	0.00128901	
-90	0.000318812	
-90	0.000292311	
-89	0.000283362	
-89	0.000258641	
-89	0.000239081	
-89	0.000352062	
-89	0.000272842	
-89	0.000332093	
-88	0.000312961	
-88	0.000315971	
-88	0.000331585	
-88	0.000345847	
-88	0.000327717	
-87	0.000425528	
-87	0.000314012	
-87	0.000364492	
-87	0.000284192	
-87	0.000275305	
-87	0.000399452	
-86	0.000367591	
-86	0.000410563	
-86	0.000268211	
-86	0.000356054	
-86	0.00031545	
-86	0.000376137	
-85	0.000318728	
-85	0.000313905	
-85	0.00034748	
-85	0.000422271	
-85	0.00029801	
-84	0.000301016	
-84	0.00037259	
-84	0.000289007	
-84	0.000224413	
-84	0.000348941	
-84	0.000332506	
-83	0.000289443	
-83	0.000311324	
-83	0.000401202	
-83	0.000337878	
-83	0.000340564	
-82	0.000400966	
-82	0.000372786	
-82	0.000329047	
-82	0.000387378	
-82	0.000356122	
-82	0.000291696	
-81	0.000238797	
-81	0.000263846	
-81	0.00034794	
-81	0.000357921	
-81	0.000318389	
-80	0.000314182	
-80	0.000319431	
-80	0.000356623	
-80	0.000193573	
-80	0.000290728	
-80	0.000347754	
-79	0.000341341	
-79	0.000277107	
-79	0.000261945	
-79	0.000359723	
-79	0.000380614	
-78	0.000351627	
-78	0.000285726	
-78	0.000366007	
-78	0.000377307	
-78	0.000336216	
-78	0.000293971	
-77	0.000254748	
-77	0.000247498	
-77	0.00039888	
-77	0.000330866	
-77	0.000236907	
-76	0.000250923	
-76	0.000389484	
-76	0.000211595	
-76	0.000295104	
-76	0.000281922	
-76	0.000296754	
-75	0.000329959	
-75	0.000225942	
-75	0.000316053	
-75	0.000325384	
-75	0.000391298	
-75	0.00036869	
-74	0.000310061	
-74	0.000331744	
-74	0.000353749	
-74	0.000455145	
-74	0.000351497	
-73	0.00025544	
-73	0.000328142	
-73	0.000374421	
-73	0.000352289	
-73	0.000324787	
-73	0.000246091	
-72	0.000258845	
-72	0.000406897	
-72	0.00022763	
-72	0.000354046	
-72	0.000406965	
-71	0.000367643	
-71	0.0003378	
-71	0.000368377	
-71	0.000478163	
-71	0.000325476	
-71	0.000355318	
-70	0.000317426	
-70	0.000295728	
-70	0.000401505	
-70	0.000469735	
-70	0.000336987	
-69	0.000360986	
-69	0.000332114	
-69	0.000401852	
-69	0.000288385	
-69	0.000293036	
-69	0.000260134	
-68	0.000415687	
-68	0.000318659	
-68	0.000332161	
-68	0.000342762	
-68	0.000353231	
-68	0.00030045	
-67	0.000327392	
-67	0.000279518	
-67	0.00025804	
-67	0.000281391	
-67	0.000382541	
-66	0.000279507	
-66	0.00020075	
-66	0.000354776	
-66	0.000395914	
-66	0.000338233	
-66	0.000253534	
-65	0.000342288	
-65	0.000306168	
-65	0.000359606	
-65	0.000388774	
-65	0.000341158	
-64	0.000286899	
-64	0.000351253	
-64	0.000365766	
-64	0.000318375	
-64	0.000357819	
-64	0.000449349	
-63	0.000434533	
-63	0.000370668	
-63	0.000368358	
-63	0.000276827	
-63	0.000401553	
-62	0.000371405	
-62	0.000278511	
-62	0.000260818	
-62	0.000309203	
-62	0.00036296	
-62	0.000284843	
-61	0.000309072	
-61	0.000235851	
-61	0.000377466	
-61	0.000411045	
-61	0.000326367	
-60	0.000296985	
-60	0.000395586	
-60	0.00035914	
-60	0.000342452	
-60	0.000350876	
-60	0.000300345	
-59	0.000338714	
-59	0.000347297	
-59	0.000394928	
-59	0.000360935	
-59	0.000274274	
-58	0.000313136	
-58	0.000416233	
-58	0.000389734	
-58	0.00033594	
-58	0.00041225	
-58	0.000436426	
-57	0.000275509	
-57	0.000483775	
-57	0.000321965	
-57	0.000257576	
-57	0.000345113	
-57	0.000322117	
-56	0.000279051	
-56	0.000309597	
-56	0.000362648	
-56	0.000293313	
-56	0.000338288	
-55	0.000289859	
-55	0.000412986	
-55	0.000465683	
-55	0.000341432	
-55	0.000444369	
-55	0.000397352	
-54	0.00035599	
-54	0.000357367	
-54	0.000498563	
-54	0.000511131	
-54	0.000542544	
-53	0.000444884	
-53	0.000526507	
-53	0.000370146	
-53	0.000454668	
-53	0.000555968	
-53	0.000473349	
-52	0.000519721	
-52	0.00050759	
-52	0.00048874	
-52	0.000572805	
-52	0.000481782	
-51	0.000363305	
-51	0.000499603	
-51	0.000411783	
-51	0.000329254	
-51	0.000469875	
-51	0.000416602	
-50	0.000328535	
-50	0.00037925	
-50	0.000465295	
-50	0.000381846	
-50	0.000345677	
-50	0.0003197	
-49	0.000377693	
-49	0.000383274	
-49	0.000367793	
-49	0.000366914	
-49	0.000348757	
-48	0.000354269	
-48	0.000282206	
-48	0.000503082	
-48	0.000365042	
-48	0.000336921	
-48	0.000496086	
-47	0.000465808	
-47	0.00040264	
-47	0.000564613	
-47	0.000406112	
-47	0.000587663	
-46	0.000657522	
-46	0.000632179	
-46	0.000590096	
-46	0.0007481	
-46	0.000776638	
-46	0.000777899	
-45	0.000937085	
-45	0.000873506	
-45	0.000854286	
-45	0.000973292	
-45	0.000905039	
-44	0.000993879	
-44	0.00105358	
-44	0.00087826	
-44	0.000762289	
-44	0.000822173	
-44	0.000741031	
-43	0.000699212	
-43	0.000728543	
-43	0.000594447	
-43	0.000534523	
-43	0.000554568	
-42	0.000457434	
-42	0.00038053	
-42	0.000423914	
-42	0.000447389	
-42	0.000542003	
-42	0.000453005	
-41	0.000558393	
-41	0.000440195	
