Óãîë, ãðàä - ÄÍ	Ñèãíàë äåòåêòîðà, î.å. - ÄÍ	
-90	0.00565682	
-90	0.000331152	
-90	0.000354675	
-89	0.000277556	
-89	0.000308065	
-89	0.000270964	
-89	0.000330768	
-89	0.000319842	
-89	0.000358316	
-88	0.000292419	
-88	0.000275271	
-88	0.000344702	
-88	0.000395381	
-88	0.000319632	
-87	0.000242186	
-87	0.000396682	
-87	0.000299658	
-87	0.000330975	
-87	0.000331752	
-87	0.000283175	
-86	0.00031865	
-86	0.000310531	
-86	0.000277976	
-86	0.000301545	
-86	0.000338603	
-86	0.000275957	
-85	0.000366172	
-85	0.000364937	
-85	0.000292647	
-85	0.000274808	
-85	0.00027259	
-84	0.000320162	
-84	0.000325006	
-84	0.000368292	
-84	0.000345928	
-84	0.000317581	
-84	0.000375952	
-83	0.00036178	
-83	0.000350684	
-83	0.000378565	
-83	0.000223944	
-83	0.000291338	
-82	0.000387686	
-82	0.000331511	
-82	0.000343198	
-82	0.000297137	
-82	0.000309246	
-82	0.000358054	
-81	0.000290231	
-81	0.000341388	
-81	0.000335719	
-81	0.000340748	
-81	0.000302596	
-80	0.00029376	
-80	0.0003365	
-80	0.000290297	
-80	0.000298314	
-80	0.000382609	
-80	0.000363311	
-79	0.000362815	
-79	0.000356139	
-79	0.000315763	
-79	0.000227998	
-79	0.000383699	
-78	0.000339268	
-78	0.000298802	
-78	0.000311596	
-78	0.000343368	
-78	0.000377683	
-78	0.00037165	
-77	0.000371184	
-77	0.000372624	
-77	0.000259561	
-77	0.000275969	
-77	0.000234911	
-76	0.000292053	
-76	0.000271542	
-76	0.000353445	
-76	0.000369335	
-76	0.000367589	
-76	0.000465107	
-75	0.000326375	
-75	0.000294942	
-75	0.00020198	
-75	0.000409892	
-75	0.000507884	
-75	0.000398313	
-74	0.000356551	
-74	0.000389424	
-74	0.000320564	
-74	0.000321766	
-74	0.000296939	
-73	0.000278842	
-73	0.000382618	
-73	0.000302345	
-73	0.000355316	
-73	0.000415181	
-73	0.000381549	
-72	0.000389141	
-72	0.000365129	
-72	0.000290351	
-72	0.000203042	
-72	0.000433526	
-71	0.000388146	
-71	0.000383729	
-71	0.000377112	
-71	0.000393501	
-71	0.000422583	
-71	0.000393263	
-70	0.000351603	
-70	0.000390139	
-70	0.00028228	
-70	0.000390306	
-70	0.000315546	
-69	0.000308391	
-69	0.00036475	
-69	0.000375139	
-69	0.00038054	
-69	0.000336584	
-69	0.000297025	
-68	0.000321726	
-68	0.000386522	
-68	0.000270933	
-68	0.000361506	
-68	0.000285914	
-68	0.000270693	
-67	0.000314361	
-67	0.000383378	
-67	0.000360737	
-67	0.000212985	
-67	0.000398982	
-66	0.000340917	
-66	0.000315654	
-66	0.000372145	
-66	0.000254039	
-66	0.000384012	
-66	0.000400868	
-65	0.00036636	
-65	0.00034337	
-65	0.000398062	
-65	0.000402526	
-65	0.000270846	
-64	0.000370829	
-64	0.000321833	
-64	0.000356917	
-64	0.000246696	
-64	0.000269671	
-64	0.000333707	
-63	0.000267607	
-63	0.000333904	
-63	0.000437406	
-63	0.000255847	
-63	0.000381382	
-62	0.000360766	
-62	0.000254273	
-62	0.000342912	
-62	0.000306271	
-62	0.000374045	
-62	0.000329695	
-61	0.000250807	
-61	0.000312745	
-61	0.000256357	
-61	0.000327669	
-61	0.000359847	
-60	0.000218761	
-60	0.000379428	
-60	0.000314185	
-60	0.000300584	
-60	0.00041701	
-60	0.000236398	
-59	0.000363057	
-59	0.000354432	
-59	0.000345514	
-59	0.000354869	
-59	0.00033839	
-58	0.000272408	
-58	0.000395783	
-58	0.000325095	
-58	0.000289036	
-58	0.00031324	
-58	0.000262115	
-57	0.000236123	
-57	0.000348909	
-57	0.000287748	
-57	0.000427993	
-57	0.000433834	
-57	0.000368629	
-56	0.000329386	
-56	0.000337289	
